game_title,description,genres
Kingdom Come: Deliverance II,"Henry is sent to escort Sir Hans Capon on a diplomatic mission. After they are ambushed and nearly killed, the two young men embark on a series of perilous adventures, putting their skills, character and friendship to the ultimate test.","['Action', 'Adventure', 'Drama', 'History']"
Grand Theft Auto V,Three very different criminals team up for a series of heists and walk into some of the most thrilling experiences in the corrupt city of Los Santos.,"['Buddy Comedy', 'Car Action', 'Dark Comedy', 'Gangster', 'Heist', 'Action', 'Comedy', 'Crime', 'Drama']"
God of War,"After wiping out the gods of Mount Olympus, Kratos moves on to the frigid lands of Scandinavia, where he and his son must embark on an odyssey across a dangerous world of gods and monsters.","['Dark Fantasy', 'Action', 'Adventure', 'Drama', 'Fantasy']"
Mass Effect 2,"After being revived from death and having to join a pro-human organization without a choice, Commander Shepard must assemble a team, battle a new threat, and make tough choices in order to save the galaxy from total annihilation once more.","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller', 'War']"
Metal Gear Solid 3: Snake Eater,"In 1964, a U.S. government operative codenamed ""Snake"" must infiltrate mountainous Soviet territory to rescue a scientist building a weapon of terrible power.","['Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Star Wars: Knights of the Old Republic,"A republic soldier, training to become a Jedi Knight, is given the task of halting the conquest of Darth Malak by discovering the location of a weapon known as the Star Forge.","['Dark Fantasy', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi']"
Final Fantasy VII,A former soldier from an evil company joins a mercenary clan to fight the company he once served.,"['Fantasy Epic', 'Sci-Fi Epic', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']"
Metal Gear Solid 3: Subsistence,"Enhanced version of Metal Gear Solid 3: Snake Eater (2004) with many added features; such as the free range camera, new camouflage outfits, bonus levels and a theater mode.","['Spy', 'Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Elden Ring,"In a dark fantasy world created by Hidetaka Miyazaki (Dark Souls) and George R. R. Martin (A Song of Ice and Fire), the player is a Tarnished who is called back to the Lands Between to restore the Elden Ring and become the Elden Lord.","['Adventure Epic', 'Dark Fantasy', 'Fantasy Epic', 'Sword & Sorcery', 'Action', 'Adventure', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi']"
Uncharted 4: A Thief's End,"Thrown back into the dangerous underworld he'd tried to leave behind, Nathan Drake must decide what he's willing to sacrifice to save the ones he loves.","['Globetrotting Adventure', 'Quest', 'Sea Adventure', 'Swashbuckler', 'Tragedy', 'Action', 'Adventure', 'Drama', 'Romance', 'Thriller']"
Red Dead Redemption,A former outlaw is forced by the federal government to hunt down the members of his old gang.,"['Action', 'Adventure', 'Crime', 'Drama', 'Western']"
Batman: Arkham City,"When part of Gotham is turned into a private reserve for criminals known as Arkham City, all hell is sure to break loose, and the Dark Knight is the only one who can stop it.","['Psychological Thriller', 'Superhero', 'Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']"
Grand Theft Auto: San Andreas,"In 1992, Carl ""CJ"" Johnson, a member of the Grove Street gang, comes home after a family tragedy to find the streets of Los Santos, San Andreas, overtaken by crime and corruption, which he must take back before things become worse.","['Car Action', 'Contemporary Western', 'Gangster', 'Action', 'Crime']"
Silent Hill 2,"After receiving a letter from his late wife, from Silent Hill, James Sunderland heads towards the town to search for her, only to come across a terrifying road of truth and redemption.","['Drama', 'Horror', 'Mystery']"
Half-Life 2,"Dr. Freeman is taken out of stasis by his ""employer"" to help rid the planet of invading aliens forces known as the Combine that entered through the portals he helped create.","['Alien Invasion', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']"
